[2026-06-25T15:40:19.993Z] GET http://localhost:5174/src/lib/auth-client.ts → 200 (7ms, 5124B)
[2026-06-25T15:40:19.993Z] GET http://localhost:5174/src/lib/auth-utils.ts → 200 (7ms, 3374B)
[2026-06-25T15:40:19.993Z] GET http://localhost:5174/src/components/ui/medusa/inline-error.tsx → 200 (8ms, 2558B)
[2026-06-25T15:40:19.993Z] GET http://localhost:5174/src/lib/validation.ts → 200 (8ms, 12025B)
[2026-06-25T15:40:19.993Z] GET http://localhost:5174/src/lib/order-utils.ts → 200 (9ms, 3321B)
[2026-06-25T15:40:19.993Z] GET http://localhost:5174/src/components/ui/medusa/success-message.tsx → 200 (9ms, 2607B)
[2026-06-25T15:40:19.994Z] GET http://localhost:5174/src/components/ui/medusa/index.ts → 200 (7ms, 2264B)
[2026-06-25T15:40:19.994Z] GET http://localhost:5174/src/components/ui/medusa/category-multiselect.tsx?t=1782401941304 → 304 (6ms, ?B)
[2026-06-25T15:40:19.994Z] GET http://localhost:5174/src/lib/product-assets-client.ts?t=1782401892657 → 200 (11ms, 4762B)
[2026-06-25T15:40:19.994Z] GET http://localhost:5174/src/lib/utils.ts → 200 (11ms, 2704B)
[2026-06-25T15:40:19.994Z] GET http://localhost:5174/src/components/ui/medusa/text-area-field.tsx → 200 (11ms, 4489B)
[2026-06-25T15:40:19.994Z] GET http://localhost:5174/src/components/ui/medusa/select-field.tsx → 200 (11ms, 4703B)
[2026-06-25T15:40:19.994Z] GET http://localhost:5174/src/components/ui/medusa/status-badge.tsx → 200 (11ms, 3554B)
[2026-06-25T15:40:19.994Z] GET http://localhost:5174/src/components/ui/medusa/checklist-item.tsx → 200 (8ms, 3599B)
[2026-06-25T15:40:19.994Z] GET http://localhost:5174/src/CustomizationTemplateListPage.tsx?t=1782401892539 → 200 (11ms, 23407B)
[2026-06-25T15:40:19.994Z] GET http://localhost:5174/src/CustomizationTemplatePage.tsx?t=1782401892688 → 200 (13ms, 108186B)
[2026-06-25T15:40:19.994Z] GET http://localhost:5174/node_modules/.vite/deps/react_jsx-runtime.js?v=36112580 → 200 (?ms, 10896B)
[2026-06-25T15:40:20.000Z] GET http://localhost:5174/node_modules/.vite/deps/valibot.js?v=36112580 → 200 (1ms, 190601B)
[2026-06-25T15:40:20.001Z] GET http://localhost:5174/node_modules/.vite/deps/better-auth_client_plugins.js?v=36112580 → 200 (?ms, 53615B)
[2026-06-25T15:40:20.001Z] GET http://localhost:5174/node_modules/.vite/deps/better-auth_react.js?v=36112580 → 200 (?ms, 46459B)
[2026-06-25T15:40:20.001Z] GET http://localhost:5174/node_modules/.vite/deps/equality-BGhNnmrW.js?v=36112580 → 200 (?ms, 16210B)
[2026-06-25T15:40:20.001Z] GET http://localhost:5174/src/components/ui/medusa/data-panel.tsx → 200 (4ms, 4674B)
[2026-06-25T15:40:20.001Z] GET http://localhost:5174/src/components/ui/medusa/empty-state.tsx → 200 (5ms, 2534B)
[2026-06-25T15:40:20.001Z] GET http://localhost:5174/src/components/ui/medusa/metric-card.tsx → 200 (5ms, 3328B)
[2026-06-25T15:40:20.001Z] GET http://localhost:5174/src/components/ui/medusa/page-header.tsx → 200 (5ms, 4689B)
[2026-06-25T15:40:20.001Z] GET http://localhost:5174/src/components/ui/medusa/section-card.tsx → 200 (6ms, 4143B)
[2026-06-25T15:40:20.001Z] GET http://localhost:5174/src/components/ui/medusa/stat-card.tsx → 200 (6ms, 3747B)
[2026-06-25T15:40:20.001Z] GET http://localhost:5174/src/components/ui/medusa/summary-row.tsx → 200 (6ms, 3243B)
[2026-06-25T15:40:20.001Z] GET http://localhost:5174/src/components/ui/medusa/text-field.tsx → 200 (6ms, 5421B)
[2026-06-25T15:40:20.034Z] GET http://localhost:5174/@fs/Users/dnt/workspace/trophy/packages/customization/src/index.ts?t=1782401892688 → 200 (4ms, 70505B)
[2026-06-25T15:40:20.034Z] GET http://localhost:5174/node_modules/.vite/deps/konva.js?v=36112580 → 200 (?ms, 778B)
[2026-06-25T15:40:20.034Z] GET http://localhost:5174/node_modules/.vite/deps/react-konva.js?v=36112580 → 200 (?ms, 595380B)
[2026-06-25T15:40:20.038Z] GET http://localhost:5174/node_modules/.vite/deps/lib-CDSsqxgj.js?v=36112580 → 200 (?ms, 316254B)
[2026-06-25T15:40:20.076Z] GET http://localhost:5174/node_modules/.vite/deps/prism-json-Dpxz72-O.js?v=36112580 → 504 (6ms, ?B)
[2026-06-25T15:40:20.101Z] GET http://localhost:8787/api/admin/auth/get-session → 200 (78ms, 4B)
[2026-06-25T15:40:20.101Z] GET http://localhost:8787/api/admin/auth/get-session → 200 (18ms, 4B)
